kdkec,nmkec,kddesa,nmdesa,nmsls,idsls,latitude,longitude
070,TEGINENENG,001,KRESNO WIDODO,RT 004 DUSUN KRESNO MULYO,18090700010004,-5.21460470156521,105.14608333523127
070,TEGINENENG,002,GEDUNG GUMANTI,RT 008 DUSUN JATIHARJO,18090700020008,-5.201205462594087,105.14227891779112
060,NEGERI KATON,010,TRISNO MAJU,RT 01 DUSUN SARIREJO 1,18090600100009,-5.258993870840333,105.09476403586432
060,NEGERI KATON,010,TRISNO MAJU,RT 03 DUSUN TRISNO MAJU 2,18090600100005,-5.24747775095732,105.1016777748838
060,NEGERI KATON,010,TRISNO MAJU,RT 02 DUSUN TRISNO MAJU 2,18090600100004,-5.250342361230394,105.10096392869873
060,NEGERI KATON,010,TRISNO MAJU,RT 03 DUSUN SIDOREJO 1,18090600100016,-5.282439621593701,105.08524879046229
060,NEGERI KATON,010,TRISNO MAJU,RT 01 DUSUN SIDOREJO 1,18090600100014,-5.279455040021711,105.08774647528818
060,NEGERI KATON,010,TRISNO MAJU,RT 01 DUSUN SIDOREJO 2,18090600100019,-5.27253486257356,105.09009373175212
060,NEGERI KATON,009,HALANGAN RATU,RT 02 DUSUN HALANGAN RATU (01),18090600090014,-5.253288106060605,105.11432087121214
060,NEGERI KATON,010,TRISNO MAJU,RT 03 DUSUN SARIREJO 2,18090600100013,-5.267117204994089,105.09142386381166
060,NEGERI KATON,009,HALANGAN RATU,RT 01 DUSUN HALANGAN RATU (01),18090600090015,-5.251539616549023,105.1166579825626
060,NEGERI KATON,009,HALANGAN RATU,RT 03 DUSUN TUGUSARI (02),18090600090005,-5.267668184050422,105.12757026406408
060,NEGERI KATON,021,DESA PERSIAPAN GRUJUGAN BARU,RT 005 DUSUN KOTA BARU SELATAN,18090600210005,-5.289309933815927,105.04698490112362
060,NEGERI KATON,021,DESA PERSIAPAN GRUJUGAN BARU,RT 001 DUSUN GRUJUGAN UTARA,18090600210001,-5.298028967476923,105.04144659760597
060,NEGERI KATON,021,DESA PERSIAPAN GRUJUGAN BARU,RT 002 DUSUN GRUJUGAN UTARA,18090600210002,-5.296840695812395,105.04526774637336
060,NEGERI KATON,019,NEGERI ULANGAN JAYA,RT 001 RW 005,18090600190009,-5.261459983430761,105.15757230826212
060,NEGERI KATON,019,NEGERI ULANGAN JAYA,RT 002 RW 004,18090600190008,-5.260151699346405,105.15710696078432
060,NEGERI KATON,019,NEGERI ULANGAN JAYA,RT 001 RW 003,18090600190005,-5.245948639235488,105.16090037178338
060,NEGERI KATON,019,NEGERI ULANGAN JAYA,RT 002 RW 001,18090600190002,-5.238495566666667,105.16153963333335
070,TEGINENENG,007,KOTA AGUNG,RT 016 DUSUN INDUK,18090700070016,-5.142445493477207,105.17928745799156
060,NEGERI KATON,019,NEGERI ULANGAN JAYA,RT 002 RW 002,18090600190004,-5.239514148148148,105.16549537037037
060,NEGERI KATON,013,SIDOMULYO,RT 001 RW 03,18090600130005,-5.267742280701754,105.06421610526321
060,NEGERI KATON,013,SIDOMULYO,RT 001 RW 01,18090600130001,-5.282711510859691,105.06364525392344
060,NEGERI KATON,013,SIDOMULYO,RT 002 RW 01,18090600130002,-5.277806969488161,105.063650968222
060,NEGERI KATON,004,KALIREJO,RT 01 DUSUN 05 ADIMULYO II,18090600040011,-5.326700524563198,105.08238775788675
